GCP PSOE,"Your organization has multiple GKE clusters across different projects and wants centralized visibility into container threats, including cryptomining, privilege escalation, and malicious code execution. You have Security Command Center Premium tier enabled. Where should you navigate in the Google Cloud console to view a summary of the top threats affecting your GKE workloads grouped by severity and category?","Security Command Center Findings page, filtered by Container Threat Detection.","GKE Security Posture dashboard, in the Top threats pane.","GKE Workloads page, in the Security tab under each deployment.","Cloud Logging Logs Explorer, filtered by GKE cluster resource type.",2,"When Security Command Center Premium or Enterprise tier is activated, the GKE security posture dashboard shows the Top threats pane that summarizes threats affecting GKE workloads, grouped by severity and category. This pane displays threats such as cryptomining, privilege escalation, and malicious code execution detected by Container Threat Detection. Reference: https://cloud.google.com/kubernetes-engine/docs/concepts/about-security-posture-dashboard"
GCP PSOE,"You have configured a VPC Service Controls perimeter protecting Cloud Storage and BigQuery. Users inside the perimeter report that they cannot access some Google Cloud APIs from VM instances within the protected VPC network, even though those APIs are not restricted by the perimeter. You want to resolve this issue while maintaining security controls. What should you do?",Add the required APIs to the restricted services list in the perimeter configuration to enable VMs inside the perimeter to access them.,Disable the VPC Service Controls perimeter temporarily and configure firewall rules to control API access at the network level instead of using service perimeters.,Configure VPC accessible services in the perimeter to allow access to the required services by setting it to 'All restricted services' or adding specific services to the allowed list.,Create an egress rule that allows VMs within the perimeter to access the required APIs outside the perimeter boundary using service account identities.,3,"VPC accessible services controls which services can be accessed from network endpoints inside the perimeter. By default, if VPC accessible services is enabled, only explicitly allowed services can be accessed from within the perimeter. Reference: https://cloud.google.com/vpc-service-controls/docs/create-service-perimeters"
GCP PSOE,"Your security team stores threat intelligence indicators (malicious IPs, domains, file hashes) in a dedicated BigQuery table that is updated daily. You have routed Cloud Audit Logs and VPC Flow Logs to BigQuery using log sinks. You need to identify connections to known malicious IP addresses at scale with efficient query performance. Which approach should you use?",Use a BigQuery SQL JOIN operation between the logs table and the threat intelligence table on the IP address field to correlate events with known IOCs.,"Export the threat intelligence table to a CSV file, then use Cloud Logging query language to filter logs matching the IP addresses.",Configure Cloud IDS to perform real-time correlation between network traffic and the BigQuery threat intelligence table.,Create a separate BigQuery view for each malicious IP address and union them together to detect matches.,1,"BigQuery's JOIN capability allows efficient correlation of large log datasets with threat intelligence tables. BigQuery uses hash-based joins to process tables across multiple workers, enabling scalable correlation of logs with IOC data. This is the most direct and efficient approach for identifying matches between logs and threat indicators. Reference: https://cloud.google.com/bigquery/docs/reference/standard-sql/query-syntax"
GCP PSOE,Your security team needs to create custom Cloud Monitoring dashboards to visualize Security Command Center findings. A junior analyst will be responsible for building these dashboards using the Google Cloud console. What is the minimum predefined IAM role you should grant to the analyst on the project to enable them to create and modify custom dashboards?,Monitoring Admin (roles/monitoring.admin),Monitoring Viewer (roles/monitoring.viewer),Security Center Admin Viewer (roles/securitycenter.adminViewer),Monitoring Editor (roles/monitoring.editor),4,The Monitoring Editor role provides the permissions needed to create and modify custom dashboards in Cloud Monitoring. This role includes the necessary permissions for dashboard management while following the principle of least privilege. Reference: https://cloud.google.com/monitoring/charts/dashboards
GCP PSOE,"You are deploying a Cloud Function to automatically remediate Security Command Center findings by modifying IAM policies on affected resources. The function will be triggered by Pub/Sub messages from SCC notifications. Following the principle of least privilege, you need to configure the appropriate IAM permissions for the Cloud Function's service account. What should you do?",Configure the Cloud Function to impersonate a privileged service account only when needed using short-lived credentials and the Service Account Token Creator role.,Use the default Compute Engine service account with the Editor role since the function needs broad permissions to remediate various resource configurations.,Grant the Security Admin role to the Cloud Function's service account at the organization level to ensure it can remediate findings across all projects.,"Create a dedicated service account with only the specific IAM permissions required for the remediation actions, and configure the Cloud Function to use this service account at runtime.",4,"Following the principle of least privilege, you should create a dedicated service account with only the permissions necessary for the specific remediation tasks. Cloud Functions can be configured to use a custom service account instead of the default Compute Engine service account, which typically has overly broad Editor permissions. Reference: https://cloud.google.com/functions/docs/concepts/iam"
GCP PSOE,Your organization wants to export Cloud Audit Logs to BigQuery for long-term security analysis. The security team requires optimized query performance with lower costs when analysts filter by date ranges. You need to configure a Cloud Logging sink to BigQuery. What configuration should you use?,Configure the sink to use clustered tables in the BigQuery dataset.,Configure the sink to use partitioned tables in the BigQuery dataset.,Configure the sink to use date-sharded tables in the BigQuery dataset.,Configure the sink to export to a linked BigQuery dataset from a log bucket.,2,Partitioned tables allow BigQuery to scan only the partitions that match the filter and skip the remaining partitions. This process called pruning improves query performance and reduces costs when filtering by date ranges. Partitioned tables are recommended over date-sharded tables for better performance. Reference: https://cloud.google.com/logging/docs/export/bigquery
GCP PSOE,Your security operations team is using Community Security Analytics (CSA) queries with Log Analytics to detect threats in your Google Cloud environment. You need to identify potential defense evasion techniques where an attacker may have modified logging configurations to hide their activities. Which log source and filter combination should you query?,Enable VPC Flow Logs and query for outbound connections from Cloud Logging IP ranges to detect log exfiltration.,Query Data Access audit logs and filter on protoPayload.methodName='google.logging.v2.LoggingServiceV2.ListLogEntries' to detect unauthorized log reads.,Query Admin Activity audit logs and filter on protoPayload.serviceName='logging.googleapis.com' to detect changes to logging settings and log sinks.,Query System Event audit logs and filter on protoPayload.serviceName='monitoring.googleapis.com' to detect alerting policy changes.,3,"Admin Activity audit logs record all configuration changes including modifications to logging infrastructure. Filtering on the logging.googleapis.com service captures attempts to disable logging, delete log sinks, or modify log bucket configurations, which are common defense evasion techniques. Reference: https://cloud.google.com/logging/docs/audit-logging"
GCP PSOE,Your security team is investigating a potential data exfiltration incident in Google Security Operations (SecOps). An analyst needs to determine if a suspicious domain that was recently added to threat intelligence feeds was accessed by any assets in the last 90 days. What should the analyst do?,Configure a reference list with the suspicious domain and enable automated enrichment for all future events.,Export all raw logs from the past 90 days to BigQuery and run a SQL query to find domain matches.,Create a real-time detection rule and wait for it to trigger alerts if the domain is accessed again in the future.,Run a retrohunt using a YARA-L rule that matches events containing the suspicious domain against historical data.,4,"A retrohunt enables searching historical data using existing or new detection rules. This allows analysts to search for detections throughout existing data in Google SecOps, which is ideal for investigating if assets accessed a newly identified suspicious domain within a specified time range. Reference: https://cloud.google.com/chronicle/docs/detection/run-rule-historical-data"
GCP PSOE,"Your organization uses Security Command Center Enterprise tier and needs to prioritize vulnerability remediation based on risk. You notice that two vulnerability findings have the same severity level, but one exposes a database containing sensitive customer data. How should you use Security Command Center to prioritize these vulnerabilities?",Apply security marks to manually tag database-related vulnerability findings as higher priority.,Export both findings to Google Security Operations and use YARA-L rules to assign risk scores based on affected resource types.,Review the attack exposure scores assigned by the Risk Engine to compare how each vulnerability exposes your high-value resources to potential attack paths.,Create custom detection rules in Event Threat Detection to increase the severity of findings related to database resources.,3,"The Risk Engine calculates attack exposure scores by simulating what attackers could do if they discovered the vulnerabilities. Findings that expose high-value resources like databases with sensitive data will have higher attack exposure scores, allowing you to prioritize remediation based on actual risk exposure rather than just severity. Reference: https://cloud.google.com/security-command-center/docs/attack-exposure-learn"
GCP PSOE,"Observability""Your organization needs to track the number of IAM policy changes across your Google Cloud environment over time to identify anomalous spikes that could indicate privilege escalation attempts. You decide to create a log-based metric to support this requirement. Which metric type and configuration should you use?",Create a distribution-type log-based metric with a filter for SetIamPolicy calls and extract the number of bindings changed as the metric value.,Create a distribution-type log-based metric with a filter for all IAM-related audit logs and configure histogram buckets for response time analysis.,Create a counter-type log-based metric with a filter for protoPayload.methodName='SetIamPolicy' and add a label that extracts the full timestamp from each log entry.,Create a counter-type log-based metric with a filter for protoPayload.methodName='SetIamPolicy' and add a label to extract the principal email from the log entries.,4,"Counter metrics count the number of log entries matching a filter, which is appropriate for tracking IAM policy change frequency. Adding a label for the principal email allows you to filter and analyze time series by user, supporting detection of anomalous activity patterns from specific principals. Reference: https://cloud.google.com/logging/docs/logs-based-metrics/counter-metrics"
GCP PSOE,"Your organization wants to establish a baseline of normal administrative behavior using Cloud Identity audit logs. A security engineer asks you which specific log types in Cloud Identity should be collected to track user authentication events, administrative actions in the Google Admin Console, and group membership changes. Which three Cloud Identity audit log types should you prioritize for this baseline?","OAuth Token audit logs, SAML audit logs, and Admin audit logs","Data Access audit logs, Admin Activity audit logs, and Policy Denied audit logs","Login audit logs, Admin audit logs, and Groups audit logs","Access Transparency logs, Admin audit logs, and Login audit logs",3,"Login audit logs track user sign-in events including suspicious logins from unfamiliar IP addresses, Admin audit logs record actions performed in the Google Admin Console such as when administrators add users or change settings, and Groups audit logs track changes to group settings and group memberships which directly affect IAM permissioning in Google Cloud. Reference: https://cloud.google.com/blog/products/identity-security/logs-based-security-alerting-in-google-cloud"
GCP PSOE,"Your security operations team wants to automate threat hunting when new threat intelligence is published to an external IOC feed. The system must receive IOC updates, parse them, and automatically search across historical logs in Google Security Operations (SecOps) within minutes of receiving new indicators. You need to design a solution using Google Cloud services that minimizes operational overhead and scales automatically. What should you do?",Configure Event Threat Detection custom detectors in Security Command Center to monitor for IOC feed updates and automatically trigger Cloud Functions for threat hunting.,Deploy a Compute Engine VM running a Python script that continuously monitors the IOC feed and pushes new indicators to the SecOps detection engine through direct database writes.,"Configure a Pub/Sub topic to receive IOC updates, create a Cloud Function with a Pub/Sub trigger that parses the IOC data, and calls the Google SecOps API to initiate retrohunts against the new indicators.","Configure Cloud Scheduler to periodically call a Cloud Function that polls the external IOC feed, downloads all indicators, and stores them in BigQuery for manual analysis by threat hunters.",3,"This approach provides an event-driven architecture where IOC updates trigger automated processing. Cloud Functions scale automatically and Pub/Sub provides reliable message delivery for security telemetry, while the SecOps API enables programmatic retrohunt execution. Reference: https://cloud.google.com/functions/docs/calling/pubsub"
GCP PSOE,Your organization uses Security Command Center Premium at the organization level. A security engineer created an Event Threat Detection custom module at the organization level to detect connections to malicious IP addresses from your threat intelligence feed. A project team needs to disable this custom module for their specific project without affecting other projects. What happens when the project team disables the inherited custom module at the project level?,The project team cannot disable the custom module because organization-level modules are enforced on all child resources.,The custom module must be cloned to the project level before it can be modified or disabled for that project.,The custom module is disabled across the entire organization because inherited modules cannot be selectively modified.,"The custom module is disabled only for the specific project, while remaining enabled for all other projects and folders in the organization.",4,"When you enable or disable an inherited custom module, your changes apply only to your current resource level. The original custom module residing at the parent level is not affected. This allows granular control over detection policies at different levels of the resource hierarchy. Reference: https://cloud.google.com/security-command-center/docs/use-custom-modules-etd"
GCP PSOE,"Your security team has deployed Container Threat Detection on multiple GKE clusters running container workloads. After reviewing findings, you notice that the file monitoring detectors are not generating any alerts for access to sensitive system files. What is the most likely cause and solution?",The file monitoring detectors are disabled by default and must be explicitly enabled in the Container Threat Detection modules settings.,"The clusters are using Ubuntu-based node images, which do not support Container Threat Detection file monitoring.","The GKE clusters are running GKE Sandbox, which is required for file monitoring detection capabilities to function.",The containerthreatdetection API was manually disabled which prevents all Container Threat Detection functionality including file monitoring.,1,Container Threat Detection's file monitoring detectors are disabled by default to avoid performance impacts on workloads with significant file I/O. These detectors must be manually enabled through the Modules page in Security Command Center settings. Reference: https://cloud.google.com/security-command-center/docs/concepts-container-threat-detection-overview
GCP PSOE,You are investigating a suspected data breach where sensitive customer data may have been exfiltrated from Cloud Storage. Your organization uses Sensitive Data Protection (Cloud DLP) to classify data and has integrated it with Security Command Center. You want to prioritize your investigation based on which Cloud Storage buckets contain the most sensitive data. What should you do?,Query Security Command Center for Data sensitivity findings generated by Sensitive Data Protection data profiles to identify high-sensitivity buckets.,Configure VPC Service Controls alerts to identify which buckets had perimeter violations during the investigation timeframe.,Run ad-hoc DLP inspection jobs on all Cloud Storage buckets to generate new sensitivity classifications during the active incident.,Export all Cloud Logging data access logs to BigQuery and manually analyze which buckets have the most read operations.,1,Sensitive Data Protection publishes Data sensitivity findings to Security Command Center that indicate the sensitivity level of data in storage resources. These findings help prioritize investigation by showing which buckets contain PII or other sensitive elements that require immediate attention during a breach investigation. Reference: https://cloud.google.com/dlp/docs/send-profiles-to-scc
GCP PSOE,"You are building a SOAR playbook to automate the incident response workflow when Security Command Center detects a Discovery: Service Account Self-Investigation finding. The playbook must collect evidence, contain the threat, and preserve the audit trail. What sequence of actions should the playbook execute?","First disable the service account to stop further API access, then export Cloud Audit Logs for the service account to a forensic bucket with a locked retention policy, and finally notify the incident response team with finding details.","First revoke all IAM role bindings for the service account across all projects, then capture a VM snapshot of any compute instances using the account, and finally store the bindings list in a forensic bucket.","First notify the incident response team with finding details, then rotate the service account key, and finally enable Cloud Audit Logging for the affected project.","First export Cloud Audit Logs to a forensic bucket, then delete the service account to prevent further access, and finally create a new service account with the same name to restore services.",1,"Disabling the service account is the immediate containment action that stops all API access. Exporting Cloud Audit Logs to a forensic bucket with a locked retention policy preserves the complete audit trail in an immutable state for investigation. Notifying the team last ensures all automated preservation steps are complete before human intervention begins. This sequence prioritizes containment, then evidence preservation, then notification. Reference: https://cloud.google.com/iam/docs/service-accounts-disable-enable and https://cloud.google.com/storage/docs/bucket-lock"
GCP PSOE,Your organization wants to centrally collect audit logs from all projects within a folder hierarchy and route them to a Cloud Storage bucket for long-term retention. You need to ensure that logs continue to be stored locally in each project's _Default bucket while also being sent to the central Cloud Storage bucket. Which sink configuration should you use?,Create an intercepting aggregated sink at the folder level with the --include-children flag to route logs to the Cloud Storage bucket.,Create individual project-level sinks in each project pointing to the central Cloud Storage bucket with identical filters.,Create a non-intercepting aggregated sink at the folder level with the --include-children flag to route logs to the Cloud Storage bucket.,Create a sink at the organization level without the --include-children flag and configure each project to inherit the sink configuration.,3,"A non-intercepting aggregated sink does not affect how log entries are routed to other sinks, including the _Default sink in each project. This ensures logs are both routed to the central Cloud Storage bucket and continue to be stored in each project's local log buckets. Reference: https://cloud.google.com/logging/docs/export/aggregated_sinks"
GCP PSOE,"You are configuring an Event Threat Detection custom module to detect connections to known malicious domains discovered by your security research team. You have created the JSON template with the domain list and custom remediation guidance. Before deploying to production, you want to verify the module's configuration and understand the operational constraints. Which two statements about Event Threat Detection custom modules are correct?",Custom modules have a size limit of 10 MB per module and can process logs from any external source configured in Cloud Logging.,Custom modules run alongside built-in detectors in real-time mode and have a default quota limit of 200 modules per organization.,Custom modules can override the behavior of built-in detectors and disable default threat intelligence sources to reduce false positives.,Security Command Center automatically provides remediation recommendations for all custom module findings based on the threat category.,2,"Event Threat Detection custom modules run alongside built-in detectors, enabled modules run in real-time mode that triggers scans whenever new logs are created, and the default quota limit for custom modules is 200. Reference: https://cloud.google.com/security-command-center/docs/custom-modules-etd-overview"
GCP PSOE,"Your security operations team needs to use Sensitive Data Protection data profiles to enrich asset context in Google Security Operations (SecOps). You want to ensure that when a security alert involves a BigQuery table, analysts can quickly understand the data sensitivity classification. What is the recommended approach to achieve this integration?",Use the DLP API's content.inspect method within a SOAR playbook to scan data assets in real-time whenever a security alert is triggered.,"Enable the integration between Sensitive Data Protection discovery service and Security Command Center, then configure SCC findings to flow into Google SecOps for correlation with alerts.",Export DLP data profiles to a separate BigQuery dataset and configure Google SecOps to query this dataset for real-time data sensitivity lookups during alert processing.,Configure Pub/Sub notifications from DLP discovery scans to trigger Cloud Functions that update custom labels on BigQuery tables for SecOps entity enrichment.,2,"Sensitive Data Protection has direct integration with Security Command Center, where data sensitivity and data risk findings are surfaced. Security Command Center Enterprise integrates with Google SecOps, allowing these DLP findings to be correlated with security alerts, enriching the asset context for analysts during investigations. Reference: https://cloud.google.com/blog/products/identity-security/dlp-sensitive-data-intelligence-now-available-in-scc"
GCP PSOE,Your organization needs to track the count of failed authentication attempts across your Google Cloud environment for security monitoring purposes. You want to visualize trends over time in Cloud Monitoring dashboards and create alerting policies when the count exceeds a threshold. You need to determine the appropriate log-based metric type. Which metric type should you use?,Distribution-type log-based metric with a filter matching failed authentication log entries.,Boolean-type log-based metric with a filter matching failed authentication log entries.,Counter-type log-based metric with a filter matching failed authentication log entries.,System-defined log-based metric for authentication failures with custom labels added.,3,"Counter metrics count the number of log entries that match a specified filter within a specific period. They are designed for tracking how many times a value or string appears in logs, making them ideal for counting security events like failed authentication attempts. Reference: https://cloud.google.com/logging/docs/logs-based-metrics/counter-metrics"
GCP PSOE,A developer needs to run Terraform code to provision Google Cloud resources in a production project. The developer's user account does not have direct permissions to create resources. Your security team requires that no service account keys be used and all actions are traceable to the individual developer. You need to configure the least privileged access. What should you do?,Grant the developer the Service Account User role on a dedicated service account and configure Terraform to authenticate using the attached service account.,Grant the developer the Editor role at the project level to provide the necessary permissions for provisioning resources directly.,Create a service account key for the dedicated service account and distribute it securely to the developer using Secret Manager.,"Grant the developer the Service Account Token Creator role on a dedicated service account, and configure Terraform to use impersonation with the --impersonate-service-account flag.",4,Granting Service Account Token Creator allows the developer to impersonate the service account without creating service account keys. All actions are logged with the developer's identity in Cloud Audit Logs through the serviceAccountDelegationInfo section. Reference: https://cloud.google.com/iam/docs/service-account-impersonation
GCP PSOE,"Your organization is using Google Security Operations (SecOps) with Applied Threat Intelligence (ATI). You notice that your analysts are overwhelmed with IOC match alerts. You want to configure detection rules that prioritize alerts based on indicators that Mandiant has observed in active breach investigations, where the Google Threat Intelligence verdict is malicious and severity is high. Which ATI priority model should you enable?",Enable the Active Breach priority model in the ATI Curated Prioritization rule pack.,Enable the Inbound IP address authentication model in the ATI Curated Prioritization rule pack.,Enable the Medium priority model in the ATI Curated Prioritization rule pack.,Enable the High priority model in the ATI Curated Prioritization rule pack.,1,"The Active Breach model specifically prioritizes indicators that Mandiant observed in active or past compromises where the GTI Verdict is Malicious and GTI Severity is High. This model uses features including GTI Verdict, GTI Severity, Active IR, Prevalence, and Attribution to identify the highest priority threats. Reference: https://cloud.google.com/chronicle/docs/detection/ati-prioritization"
GCP PSOE,"Detection engineering""Your organization recently received a new threat intelligence report containing IOCs for a previously unknown campaign. You have already created a YARA-L detection rule for these IOCs and want to search for any historical matches in your Google Security Operations (SecOps) data from the past 30 days. What should you do?",Convert the YARA-L rule to a UDM search query and manually search for matching events using the Search feature with a 30-day time range selected.,Export the past 30 days of UDM events to BigQuery and run the YARA-L rule as a scheduled query against the exported dataset for historical analysis.,Run a retrohunt on the YARA-L rule with a time range covering the past 30 days to search for detections throughout existing data in Google SecOps.,Enable the rule in live mode and wait for the detection engine to automatically backfill detections from the past 30 days during its scheduled processing cycles.,3,Retrohunt in Google SecOps allows you to run a detection rule against historical data to find matches that occurred before the rule was created. This is the intended method for searching existing data with new detection logic. Reference: https://cloud.google.com/chronicle/docs/detection/run-rule-historical-data
