GCP PSOE,Your security team needs to verify how organization policies are being applied across the resource hierarchy for a specific project. They want to see the combined effect of all inherited and locally-set policies for the constraints/gcp.resourceLocations constraint. Which gcloud command should they use?,gcloud resource-manager org-policies list --project=PROJECT_ID,gcloud org-policies describe constraints/gcp.resourceLocations --project=PROJECT_ID,gcloud org-policies describe constraints/gcp.resourceLocations --effective --project=PROJECT_ID,gcloud policy-intelligence analyze --org-policy=constraints/gcp.resourceLocations --project=PROJECT_ID,3,The --effective flag returns the organization policy as it is evaluated at that point in the resource hierarchy with inheritance included. This shows the result of merging policies in the resource hierarchy and evaluating conditions. Reference: https://cloud.google.com/resource-manager/docs/organization-policy/using-constraints
GCP PSOE,Your organization has deployed Security Command Center Enterprise and is using the SCC Enterprise – Urgent Posture Findings Connector to ingest findings into cases. Security analysts report that the number of cases is overwhelming due to many findings appearing that represent expected behavior or are irrelevant to the organization's security posture. You need to reduce the volume of findings appearing in cases while maintaining audit records. What should you do?,Modify the SCC Enterprise – Urgent Posture Findings Connector to use a more restrictive filter expression to exclude irrelevant finding categories.,Create dynamic mute rules with filters that match the irrelevant findings to prevent them from appearing in cases while maintaining audit logs.,Delete the cases containing irrelevant findings from the Security Operations console to reduce the case queue.,Disable the Security Health Analytics detectors that are generating the irrelevant findings.,2,"Dynamic mute rules automatically apply to both existing and new findings, and muted findings are hidden from cases but continue to be logged for audit and compliance purposes. When you mute findings for cases, you prevent them from appearing in cases, which reduces analyst workload while preserving the audit trail. Reference: https://cloud.google.com/security-command-center/docs/how-to-mute-findings"
GCP PSOE,Your security team has identified a potential data exfiltration incident involving a Cloud Storage bucket containing sensitive customer data. You need to investigate which principals accessed the bucket during the incident timeframe and identify patterns of bulk data downloads. Which Cloud Logging query approach should you use to effectively investigate this incident?,Query VPC Flow Logs filtering by destination IP addresses matching Cloud Storage service endpoints to identify volume of data transferred during the incident timeframe.,Query Cloud Audit Logs Data Access logs filtering by resource.type='gcs_bucket' and protoPayload.methodName='storage.objects.get' to identify principals and access patterns during the incident timeframe.,Query Cloud Audit Logs Admin Activity logs filtering by resource.type='gcs_bucket' to identify all operations performed on the bucket during the incident timeframe.,Query Cloud Storage usage logs and export them to BigQuery for analysis to identify access patterns and download volumes during the incident timeframe.,2,Cloud Audit Logs Data Access logs capture read operations on Cloud Storage objects including storage.objects.get method calls. These logs provide principal information (protoPayload.authenticationInfo.principalEmail) and request metadata needed to identify bulk download patterns during a specific timeframe. Reference: https://cloud.google.com/storage/docs/audit-logging
GCP PSOE,Your organization uses Security Command Center Premium tier activated at the organization level. You want to suppress Security Health Analytics findings for a specific Cloud SQL instance that has been approved for public access due to a legitimate business requirement. What is the recommended approach?,Delete the Cloud SQL instance from Security Command Center's asset inventory to prevent the finding from being generated.,Create a mute rule in Security Command Center to suppress the PUBLIC_SQL_INSTANCE findings for the specific Cloud SQL instance.,Disable the PUBLIC_SQL_INSTANCE detector entirely in the Security Command Center Services settings.,Apply the security mark allow_public_sql_instance:true to the Cloud SQL instance to exclude it from detection.,2,"For Security Command Center activations on or after June 26, 2023, the mute feature is the recommended method to suppress findings for specific assets. The mute feature allows you to suppress unwanted findings while still allowing the detectors to scan the assets. Security marks for allowlisting are deprecated and will no longer work after April 15, 2025. Reference: https://cloud.google.com/security-command-center/docs/how-to-use-security-health-analytics"
GCP PSOE,"Your organization stores Google SecOps UDM events in BigQuery using the managed data lake export. During a threat hunt, you need to identify all network connections to IP addresses that match IOCs from your threat intelligence feeds. Which BigQuery table should you query to find these matches?",The ioc_matches table in the Google SecOps datalake dataset.,The udm_events_aggregates table with a JOIN to an external IOC reference table.,The rule_detections table filtered by IOC-related rule names.,The entity_graph table with a filter on network entity relationships.,1,The Google SecOps datalake dataset in BigQuery includes an ioc_matches table that specifically stores IOC matches found against UDM events. This table contains artifacts such as domains and IP addresses from events that match Indicator of Compromise feeds. Reference: https://cloud.google.com/chronicle/docs/reports/overview-chronicle-bigquery
GCP PSOE,"During an active security incident, your incident response team needs to isolate a compromised VM while simultaneously allowing your forensics team to access it from a dedicated forensics VPC. The forensics VPC is already peered with the production VPC. You need to implement this containment strategy. What should you do?","Create a VPC Service Controls perimeter with an ingress rule allowing only the forensics service account, then add the compromised VM's project to the perimeter.","Remove all existing network tags from the compromised VM and add a quarantine tag, then modify existing allow rules to exclude the quarantine tag.","Tag the compromised VM with an isolation tag, create a deny-all ingress rule with priority 100 targeting the tag, and create an allow ingress rule with priority 50 for the forensics subnet CIDR range.","Move the compromised VM to an isolated subnet with no routes to the internet, then configure IAP tunneling for forensics team access.",3,"Firewall rules are evaluated by priority (lower number = higher priority). By creating a deny-all rule at priority 100 and an allow rule at priority 50 for the forensics subnet, you effectively block all traffic except from the forensics team. The unique tag ensures only the compromised VM is affected. Reference: https://cloud.google.com/firewall/docs/firewalls"
GCP PSOE,Your organization is investigating a potential security incident that occurred two weeks ago. You need to copy relevant Cloud Audit Logs from your project's _Default log bucket to a Cloud Storage bucket for forensic analysis and preservation. The log bucket does not have CMEK configured. What should you do?,Use the gcloud logging copy command to retroactively copy log entries from the _Default log bucket to the Cloud Storage bucket.,Create a new log sink with an inclusion filter for Cloud Audit Logs and set the destination to the Cloud Storage bucket.,Export logs directly from Logs Explorer by selecting all relevant entries and downloading them to Cloud Storage.,Use BigQuery to query the linked dataset from the log bucket and export query results to Cloud Storage.,1,Cloud Logging supports copying log entries from log buckets to Cloud Storage buckets using the gcloud logging copy command. This allows you to retroactively export historical logs for forensic analysis. The operation works on buckets without CMEK configured. Reference: https://cloud.google.com/logging/docs/routing/copy-logs
GCP PSOE,"Detection engineering""Your security operations team uses Google Security Operations (SecOps) and has identified a new threat actor's techniques through threat intelligence research. You want to search your historical event data to determine if your environment was previously compromised by this threat actor. Which Google SecOps capability should you use?","Run a retrohunt using a YARA-L detection rule that defines the threat actor's techniques, specifying a historical time range to scan existing event data for matches.",Export all historical logs to BigQuery and execute SQL queries that implement the detection logic against the exported dataset.,Configure a composite detection rule that correlates current alerts with historical entity context from the entity graph to identify prior compromise indicators.,Enable the detection rule as a live rule and wait for the Detection Engine to process historical backlogs automatically against newly created rules.,1,Retrohunt allows you to run a YARA-L rule against historical data stored in Google SecOps to search for detections throughout existing data. This enables security teams to hunt for indicators of past compromise using newly developed detection logic against the full retention period of event data. Reference: https://cloud.google.com/chronicle/docs/detection/run-rule-historical-data
GCP PSOE,Your security team is conducting threat hunting across your Google Cloud environment and suspects that an attacker may be performing network reconnaissance by conducting port scans from a compromised VM. You want to write a BigQuery query against VPC Flow Logs to identify potential port scanning activity. Which query criteria should you use to identify this behavior?,"Query for source IP addresses with a high count of distinct destination port values and a low packet count per connection, filtering for traffic where the source is internal and connection durations are brief.","Query for destination IP addresses receiving traffic from external sources on well-known ports like 22 and 443, filtering for high byte counts to identify data exfiltration attempts.","Query for traffic patterns where the same 5-tuple appears repeatedly with consistent packet sizes, indicating automated scanning tools are being used across the network.","Query for any traffic originating from external IP addresses that was blocked by firewall rules, as port scanners always originate from external networks.",1,"Port scanning typically involves a single source IP attempting connections to many different destination ports on one or more targets, with minimal data transfer and brief connection attempts. Low packet counts with high distinct port counts indicate scanning behavior rather than legitimate application traffic. Reference: https://cloud.google.com/vpc/docs/flow-logs"
GCP PSOE,Your security team is overwhelmed by the number of vulnerability findings in Security Command Center. You need to prioritize remediation based on which vulnerabilities pose the greatest risk to your critical business systems. What is the most effective approach to configure SCC for vulnerability prioritization?,Sort all vulnerability findings by severity level and address Critical findings first regardless of affected resources.,Export findings to BigQuery and run SQL queries to count findings per resource to identify the most vulnerable assets.,Create custom dashboards in Looker Studio to visualize all findings and manually prioritize based on affected resource names.,"Define a high-value resource set by creating resource value configurations, then prioritize findings based on attack exposure scores.",4,"Attack exposure scores measure how much a detected security issue exposes high-value resources to potential cyberattacks. To get scores that accurately reflect your security priorities, you must define your high-value resource set using resource value configurations. Findings with higher scores should receive higher remediation priority. Reference: https://cloud.google.com/security-command-center/docs/attack-exposure-learn"
GCP PSOE,"Your security team has identified that a service account in Project A has permissions to impersonate service accounts in Project B, creating a potential lateral movement risk. You want to identify all such cross-project impersonation scenarios in your organization and receive recommendations to remediate them. What should you do?",Enable VPC Service Controls to restrict which projects can access service accounts and prevent cross-project impersonation.,Use IAM Recommender to review lateral movement insights and associated role recommendations for service accounts across projects.,Configure Cloud Audit Logs to track all service account impersonation events and manually analyze the logs to identify cross-project access patterns.,Create a custom YARA-L detection rule in Google SecOps to detect service account impersonation activities across projects.,2,"IAM Recommender generates lateral movement insights that identify roles allowing service accounts in one project to impersonate service accounts in another project. These insights highlight impersonation abilities and whether permissions were used in the last 90 days, helping you understand and remediate cross-project risks. Reference: https://cloud.google.com/policy-intelligence/docs/role-recommendations-overview"
GCP PSOE,"Detection engineering""You are developing detection rules in Google Security Operations (SecOps) SIEM and need to identify when entities exceed risk thresholds. You want to create a YARA-L rule that triggers alerts based on changes to an entity's risk score without requiring any specific ingested event to occur. Which approach should you use?",Create a multi-event rule that correlates all detection events for an entity and calculates the cumulative risk score in the outcome section.,Use entity context data in a single-event rule with conditions on the graph.risk_score.normalized_risk_score field.,Create a YARA-L rule using the ENTITY_RISK_CHANGE UDM event type to trigger independently of ingested events when entity risk scores change.,Configure the Risk Analytics dashboard alerts to send notifications when entity risk scores exceed thresholds.,3,The ENTITY_RISK_CHANGE UDM event type allows you to write YARA-L detection rules that trigger independently of ingested events and focus specifically on changes in an entity's risk score. Reference: https://cloud.google.com/chronicle/docs/release-notes
GCP PSOE,"You are configuring a Cloud Logging sink to export security-relevant logs to Cloud Storage for long-term retention and later analysis in Google Security Operations. You need to include Admin Activity audit logs, Data Access audit logs, and VPC Flow Logs in the export. Which sink filter should you configure?",logName=projects/*/logs/cloudaudit.googleapis.com%2Factivity OR logName=projects/*/logs/cloudaudit.googleapis.com%2Fdata_access,protoPayload.@type=type.googleapis.com/google.cloud.audit.AuditLog AND resource.type=gce_subnetwork,logName:cloudaudit.googleapis.com OR resource.type=gce_subnetwork,severity>=INFO AND (logName:audit OR resource.type:vpc),3,"This filter captures both Cloud Audit Logs (which include Admin Activity and Data Access audit logs via the cloudaudit.googleapis.com log name pattern) and VPC Flow Logs (which use the gce_subnetwork resource type). The logName field with the colon operator performs a substring match, capturing all audit log types. Reference: https://cloud.google.com/logging/docs/export/configure_export_v2"
GCP PSOE,"Your organization has enabled Web Security Scanner managed scans in Security Command Center at the organization level. After reviewing the findings, you notice that some critical applications are not being scanned. You need to understand the limitations and ensure comprehensive coverage of your web applications. Which limitation explains why some applications might not be scanned by managed scans?",Managed scans only run during maintenance windows specified in the project configuration.,Managed scans only support applications using default ports 80 for HTTP and 443 for HTTPS connections.,Managed scans require explicit authentication credentials to be configured for each application.,Managed scans are limited to applications deployed in specific Google Cloud regions.,2,"Web Security Scanner managed scans support only applications that use the default port, which is 80 for HTTP connections and 443 for HTTPS connections. If your application uses a non-default port, you must configure a custom scan instead. Reference: https://cloud.google.com/security-command-center/docs/concepts-web-security-scanner-overview"
GCP PSOE,Your organization deployed a critical security log ingestion service on Google Cloud. You configured a service-level objective (SLO) with a 99.5% availability target measured over a 30-day rolling compliance period. Security leadership requests a centralized view showing whether the security service is meeting its SLO. You need to create a dashboard to visualize the SLO performance. What should you do?,Create a line chart using the service's availability metric and manually add a threshold line at 99.5% to represent the SLO target.,Add an SLO widget to a custom dashboard and configure it to display the error budget metric for the security log ingestion service.,Export SLO metrics to BigQuery and use Looker Studio to create a compliance visualization that updates weekly.,Configure a scorecard widget to display the average availability percentage and set color thresholds at 99.5% for visual indication.,2,"Adding an SLO widget allows you to view the health, compliance, or error budget of a service-level objective. By displaying error budget, security leadership can see the remaining tolerance for failures before violating the SLO. Reference: https://cloud.google.com/monitoring/dashboards/slos"
GCP PSOE,You are building an investigation playbook in Google Security Operations (SecOps) SOAR that requires a senior analyst to approve a containment action before the system isolates a compromised endpoint. You want to ensure the approval step has a deadline and the playbook handles situations where the analyst does not respond in time. What should you do?,Add a parallel branch that executes the containment automatically while simultaneously sending a notification to the senior analyst for awareness.,Configure the containment action as Automatic type with a pre-approval flag that requires the senior analyst to have previously authorized this action type.,"Configure the containment action as Manual type, assign it to a SOC role, enable Time to respond with a deadline, and add an 'If previous Step failed' condition to control the alternative flow.",Create a separate approval workflow playbook that sends an email to the analyst and polls for a response using a loop action with timeout.,3,"Manual actions pause the playbook until user input is received. The Time to respond setting enforces a deadline, and if the analyst does not respond in time, the action fails. Using 'If previous Step failed' conditional step allows the playbook to handle timeout scenarios by branching to an alternative flow. Reference: https://cloud.google.com/chronicle/docs/soar/respond/working-with-playbooks/assign-actions-and-playbook-blocks"
GCP PSOE,Your security team is performing threat hunting to identify potential privilege escalation attempts in your Google Cloud environment. You need to detect when IAM permissions are granted over service accounts that could allow impersonation or key creation. Which approach should you use to efficiently analyze this activity at scale?,Configure Cloud Monitoring alerts on all Data Access audit logs to trigger when any service account authentication event occurs across the organization.,Use Logs Explorer to manually review Policy Denied audit logs for rejected access attempts to service account resources across each project individually.,Use Log Analytics with SQL queries to analyze Admin Activity audit logs for SetIamPolicy operations that grant iam.serviceAccountKeys.create or iam.serviceAccounts.actAs permissions.,Export all System Event audit logs to BigQuery and create scheduled queries to identify any automated Google Cloud system operations related to service accounts.,3,"Log Analytics allows you to use BigQuery-standard SQL to query and aggregate audit logs at scale. Admin Activity audit logs record IAM policy changes, and analyzing SetIamPolicy operations for service account permissions is the most effective way to detect privilege escalation risks involving impersonation or key creation. Reference: https://cloud.google.com/logging/docs/analyze/analyze-audit-logs"
GCP PSOE,You need to enable your security team to run SQL queries against Cloud Logging data using BigQuery Studio while maintaining the lowest operational overhead. The logs are currently stored in a Cloud Logging log bucket. What configuration steps should you complete?,"Upgrade the log bucket to use Log Analytics, then create a linked BigQuery dataset from the log bucket.",Enable the BigQuery API and create scheduled queries to export log summaries to BigQuery tables on a daily basis.,Configure the log bucket with CMEK encryption and grant the security team the Logs Viewer role to query logs in BigQuery.,"Create a log sink to route logs directly to a BigQuery dataset, then query the routed logs in BigQuery.",1,"Upgrading the log bucket to use Log Analytics enables SQL querying capabilities, and creating a linked BigQuery dataset allows BigQuery services to read the log data directly. This configuration lets you query logs from BigQuery Studio, Looker Studio, or the bq command-line tool without needing to manage separate data pipelines or storage. Reference: https://cloud.google.com/logging/docs/log-analytics"
GCP PSOE,"Your security team needs to identify entities with the highest risk in your environment and monitor their behavior over time. The team wants to view entity risk scores, track findings trends, and create watchlists for high-value targets. Which Google Security Operations (SecOps) SIEM feature should you use?",Context Aware Detections - Risk dashboard with detection rules configuration.,Risk Analytics dashboard with Behavioral Analytics section and Watchlists tab.,Cloud Detection and Response dashboard with CDIR Rulesets Enabled visualization.,Main dashboard with Global Threat Map - IoC IP Matches visualization.,2,The Risk Analytics dashboard provides entity risk visualization with a Behavioral Analytics section listing entities by risk scores and a Watchlists section for tracking specific entities. It includes a Findings timeline chart tracking risk scores over time and supports configuring up to 200 watchlists. Reference: https://cloud.google.com/chronicle/docs/detection/risk-analytics-dashboard
GCP PSOE,"Your organization is exporting Cloud Audit Logs from multiple projects to a centralized BigQuery dataset for security analysis. After several weeks of operation, you discover that some log entries are being written to a table named 'export_errors' instead of the expected destination tables. You need to identify the root cause and prevent this issue from recurring. What is the most likely cause of this issue?","The BigQuery dataset's storage quota has been exceeded, causing logs to be redirected to the error table.",The Cloud Logging sink filter is misconfigured and matches logs with incompatible resource types for the destination table.,A later log entry has a field type that differs from the field type established by the first log entry that created the table schema.,The sink's writer identity service account was revoked from the BigQuery Data Editor role on the destination dataset.,3,"When Cloud Logging exports to BigQuery, the first log entry received determines the schema. A schema mismatch occurs when later log entries change the field type for an existing field. BigQuery then writes the mismatched entries to an export_errors table rather than the original destination table. Reference: https://cloud.google.com/logging/docs/export/bigquery"
GCP PSOE,Your security team is investigating a VPC Service Controls access denial for a legitimate service account attempting to access Cloud Storage resources within a protected perimeter. You need to determine the root cause and resolve the issue quickly. What is the most effective approach?,Review the perimeter's restricted services list and remove Cloud Storage temporarily for testing.,Use the VPC Service Controls troubleshooter in the Google Cloud console with the unique ID from the audit log to analyze the denial.,Create an access level with the service account identity and apply it to the perimeter.,Export the Cloud Audit Logs to BigQuery and query for all VPC Service Controls violations in the past 30 days.,2,The VPC Service Controls troubleshooter provides detailed analysis of access denial events using the unique ID logged in Cloud Audit Logs. It evaluates the denial against all perimeter configurations and provides specific remediation guidance. Reference: https://cloud.google.com/vpc-service-controls/docs/troubleshooter
GCP PSOE,Your security team has received a list of malicious IP addresses from a threat intelligence feed. You need to search for these IOCs across 90 days of historical network logs stored in a Log Analytics-enabled bucket. You want to minimize query costs while efficiently matching the IOCs. What should you do?,Query the logs directly in Logs Explorer using advanced filter syntax with each IP address listed in an OR statement for the full 90-day range.,Configure a log-based metric for each malicious IP address and create alerting policies to detect historical matches in Cloud Monitoring dashboards.,"Export the logs to Cloud Storage, import them into a new BigQuery dataset, and run a CONTAINS query against all IP address fields in the entire dataset.","Create a linked BigQuery dataset from the log bucket, load the IOC list into a separate BigQuery table, and use a JOIN query with partition filters on the timestamp column.",4,"Creating a linked dataset allows BigQuery to read log data directly without data movement. Loading IOCs into a reference table enables efficient JOIN operations, and using partition filters reduces query costs by limiting data scanned. Reference: https://cloud.google.com/logging/docs/analyze/query-linked-dataset"
GCP PSOE,Your organization uses Security Command Center Premium tier and needs to test whether Event Threat Detection is properly configured to generate findings. You want to verify the configuration without waiting for actual threats to occur. What is the recommended approach?,Wait for Event Threat Detection to perform its scheduled daily scan and review the scan completion logs for verification.,Review the Event Threat Detection service status in the Security Command Center console to confirm the service is enabled and healthy.,Create a custom module that monitors for a test event pattern and use it to validate that findings are properly generated.,"Intentionally trigger a detector by performing an action that matches the detector's criteria, such as creating a test IAM policy with suspicious characteristics.",4,"Google Cloud documentation recommends intentionally triggering detectors to verify Event Threat Detection configuration. By performing actions that match detector criteria, you can generate test findings and confirm that Event Threat Detection is working correctly. Detection latencies are generally less than 15 minutes. Reference: https://cloud.google.com/security-command-center/docs/how-to-use-event-threat-detection"
